Index,HostCPU,HostMem,NodeCPU,NodeCPU%,NodeMEM,NodeMEM%,PP_CPU,PP_MEM,PPAC_CPU,PPAC_MEM,PPP_CPU,PPP_MEM,PPGP_CPU,PPGP_MEM
0,27.49,3831292,362955734,18,2836704,71,59664267.0,27652.0,302827.0,17964.0,314100.0,17140.0,439295.0,17148.0
15,36.62,3831750,362955734,18,2836704,71,59664267.0,27652.0,302827.0,17964.0,314100.0,17140.0,439295.0,17148.0
30,27.11,3839950,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
45,29.33,3845426,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
60,25.53,3848512,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
75,32.14,3851736,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
90,25.67,3853358,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
105,34.56,3854908,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
120,24.87,3862062,152804463,7,2837804,71,212137.0,27616.0,417409.0,18000.0,314100.0,17140.0,224142.0,17276.0
135,25.2,3862552,816868348,40,2873720,72,189995483.0,29992.0,417409.0,18000.0,278460.0,17200.0,429208.0,17240.0
150,27.35,3865706,816868348,40,2873720,72,189995483.0,29992.0,417409.0,18000.0,278460.0,17200.0,429208.0,17240.0
165,24.28,3868624,816868348,40,2873720,72,189995483.0,29992.0,417409.0,18000.0,278460.0,17200.0,429208.0,17240.0
